,연도,지역,주거용
0,2015,35,2276416
1,2016,35,2340425
2,2017,35,2326183
3,2018,35,2431432
4,2019,35,2397329
5,2020,35,2519052
6,2021,35,2588903
7,2022,35,2597581
8,2015,39,675632
9,2016,39,735092
10,2017,39,782601
11,2018,39,831090
12,2019,39,850988
13,2020,39,917914
14,2021,39,971492
15,2022,39,1005271
16,2015,34,2509792
17,2016,34,2629227
18,2017,34,2691823
19,2018,34,2897959
20,2019,34,2887131
21,2020,34,3038547
22,2021,34,3184715
23,2022,34,3250541
24,2015,33,1940308
25,2016,33,2011175
26,2017,33,2027281
27,2018,33,2184680
28,2019,33,2179833
29,2020,33,2291890
30,2021,33,2385627
31,2022,33,2434712
